3,1,133,249900,2983 Bergamo Way Sacramento CA 95833
4,4,240,764990,5013 Conrad Ave San Diego CA 92117
3,2,215,429900,207 Mission Oak Ct Folsom CA 95630
3,2,138,500000,17803 Mana Rd Apple Valley CA 92307
5,3,287,775000,3605 Anthea St Sacramento CA 95834
4,3,171,765000,1311 School St Folsom CA 95630
2,1,120,350000,17232 Micallef Ct Fontana CA 92336
3,2,167,799999,857 Princeton Ct Woodland CA 95695
2,1,90,259000,9636 Sea Cliff Way Elk Grove CA 95758
2,1,69,535000,2983 Bergamo Way Sacramento CA 95833
3,2,173,449000,5013 Conrad Ave San Diego CA 92117
4,2,210,530000,207 Mission Oak Ct Folsom CA 95630
3,2,144,425900,17803 Mana Rd Apple Valley CA 92307
3,2,107,185000,3605 Anthea St Sacramento CA 95834
4,2,164,429900,1311 School St Folsom CA 95630
3,2,141,374900,17232 Micallef Ct Fontana CA 92336
3,1,106,300000,857 Princeton Ct Woodland CA 95695
2,2,82,1199000,9636 Sea Cliff Way Elk Grove CA 95758
4,2,129,415000,2983 Bergamo Way Sacramento CA 95833
2,2,97,142000,5013 Conrad Ave San Diego CA 92117
3,1,90,29900,207 Mission Oak Ct Folsom CA 95630
3,2,113,475000,17803 Mana Rd Apple Valley CA 92307
4,2,168,410000,3605 Anthea St Sacramento CA 95834
3,2,159,899900,1311 School St Folsom CA 95630
2,2,85,399000,17232 Micallef Ct Fontana CA 92336
3,3,188,479000,857 Princeton Ct Woodland CA 95695
3,2,128,525000,9636 Sea Cliff Way Elk Grove CA 95758
2,2,95,275000,2983 Bergamo Way Sacramento CA 95833
3,3,121,499000,5013 Conrad Ave San Diego CA 92117
7,8,907,8995000,207 Mission Oak Ct Folsom CA 95630
4,3,214,599000,17803 Mana Rd Apple Valley CA 92307
3,2,193,1250000,3605 Anthea St Sacramento CA 95834
3,3,158,574800,1311 School St Folsom CA 95630
3,2,223,869000,17232 Micallef Ct Fontana CA 92336
3,2,118,635000,857 Princeton Ct Woodland CA 95695
3,3,183,899000,9636 Sea Cliff Way Elk Grove CA 95758
