28,28,450000,14850000,4,4,3218,74.8185,House for sale,103 Chimney Rdg Prattville AL 36067,https://www.zillow.com/homedetails/103-Chimney-Rdg-Prattville-AL-36067/89828693_zpid/
29,29,169900,5606700,3,2,1744,40.548,House for sale,64 Misty Forest Dr Phenix City AL 36869,https://www.zillow.com/homedetails/64-Misty-Forest-Dr-Phenix-City-AL-36869/104550761_zpid/
30,30,535000,17655000,4,3,2875,66.84375,House for sale,(undisclosed Address) Auburn AL 36830,https://www.zillow.com/homedetails/Auburn-AL-36830/76031247_zpid/
31,31,339900,11216700,3,2,1754,40.7805,House for sale,135 River Run Rd Childersburg AL 35044,https://www.zillow.com/homedetails/135-River-Run-Rd-Childersburg-AL-35044/76056730_zpid/
32,32,179189,5913237,4,2,1553,36.10725,House for sale,1700 Carlisle Dr E Mobile AL 36618,https://www.zillow.com/homedetails/1700-Carlisle-Dr-E-Mobile-AL-36618/50984075_zpid/
33,33,279000,9207000,4,3,2731,63.49575,House for sale,907 Brookwood Dr Prattville AL 36066,https://www.zillow.com/homedetails/907-Brookwood-Dr-Prattville-AL-36066/77172_zpid/
34,34,250000,8250000,3,2,1801,41.87325,House for sale,5112 Crowley Dr Irondale AL 35210,https://www.zillow.com/homedetails/5112-Crowley-Dr-Irondale-AL-35210/959613_zpid/
35,35,220000,7260000,3,1,1670,38.8275,House for sale,708 E Rison Ave NE Huntsville AL 35801,https://www.zillow.com/homedetails/708-E-Rison-Ave-NE-Huntsville-AL-35801/92138416_zpid/
36,36,239000,7887000,3,2,1612,37.479,House for sale,572 Nuckols Rd Seale AL 36875,https://www.zillow.com/homedetails/572-Nuckols-Rd-Seale-AL-36875/104537642_zpid/
37,37,285000,9405000,3,2,1398,32.5035,House for sale,935 Sandstone Ln Auburn AL 36830,https://www.zillow.com/homedetails/935-Sandstone-Ln-Auburn-AL-36830/76044230_zpid/
38,38,250000,8250000,3,2,1611,37.45575,House for sale,8338 Anslee Way NW Huntsville AL 35806,https://www.zillow.com/homedetails/8338-Anslee-Way-NW-Huntsville-AL-35806/109204432_zpid/
39,39,300000,9900000,3,2,2000,46.5,House for sale,5331 Charles Hamilton Rd Mc Calla AL 35111,https://www.zillow.com/homedetails/5331-Charles-Hamilton-Rd-Mc-Calla-AL-35111/2065534729_zpid/
40,40,294900,9731700,5,4,3280,76.26,House for sale,36 Creek Trl Fort Mitchell AL 36856,https://www.zillow.com/homedetails/36-Creek-Trl-Fort-Mitchell-AL-36856/113738493_zpid/
41,41,195000,6435000,4,3,2511,58.38075,House for sale,1245 Little Brook Ln Birmingham AL 35235,https://www.zillow.com/homedetails/1245-Little-Brook-Ln-Birmingham-AL-35235/897800_zpid/
42,42,149169,4922577,3,2,1532,35.619,House for sale,9870 Petaluma Dr Semmes AL 36575,https://www.zillow.com/homedetails/9870-Petaluma-Dr-Semmes-AL-36575/50977718_zpid/
43,43,199000,6567000,4,2,2000,46.5,House for sale,820 County Road 29 Killen AL 35645,https://www.zillow.com/homedetails/820-County-Road-29-Killen-AL-35645/67114670_zpid/
44,44,400000,13200000,4,2,2400,55.8,House for sale,540 Telephone Tower Rd Laceys Spring AL 35754,https://www.zillow.com/homedetails/540-Telephone-Tower-Rd-Laceys-Spring-AL-35754/109643123_zpid/
45,45,199000,6567000,3,2,1146,26.6445,House for sale,909 Oak Blvd Moody AL 35004,https://www.zillow.com/homedetails/909-Oak-Blvd-Moody-AL-35004/168904_zpid/
46,46,230000,7590000,3,3,1511,35.13075,House for sale,800 Henckley Ave Mobile AL 36609,https://www.zillow.com/homedetails/800-Henckley-Ave-Mobile-AL-36609/50996156_zpid/
47,47,154000,5082000,3,2,2130,49.5225,House for sale,1901 Northside Dr Dothan AL 36303,https://www.zillow.com/homedetails/1901-Northside-Dr-Dothan-AL-36303/76010018_zpid/
48,48,374900,12371700,4,3,2094,48.6855,House for sale,2082 Autumn Ridge Way Waverly AL 36879,https://www.zillow.com/homedetails/2082-Autumn-Ridge-Way-Waverly-AL-36879/120126232_zpid/
49,49,149900,4946700,3,1,1975,45.91875,House for sale,1102 S 8th Ave Lanett AL 36863,https://www.zillow.com/homedetails/1102-S-8th-Ave-Lanett-AL-36863/104477650_zpid/
